Radius,AveragePower
1.170000000000000000e+02,4.725814312721297028e+05
1.180000000000000000e+02,4.623944407663947786e+05
1.190000000000000000e+02,4.567812053988830885e+05
1.200000000000000000e+02,4.571021567737956066e+05
1.210000000000000000e+02,4.684516110357744037e+05
1.220000000000000000e+02,4.451119631163725862e+05
1.230000000000000000e+02,4.169775312729566358e+05
1.240000000000000000e+02,4.533067956604782376e+05
1.250000000000000000e+02,4.217941315400261083e+05
1.260000000000000000e+02,4.498984890356616816e+05
1.270000000000000000e+02,4.165221735715324176e+05
1.280000000000000000e+02,2.872726794630519580e+05
