Radius,AveragePower
8.800000000000000000e+01,6.819340656626634300e+05
8.900000000000000000e+01,5.917849181167945499e+05
9.000000000000000000e+01,6.605972766316102352e+05
9.100000000000000000e+01,5.972760146981936414e+05
9.200000000000000000e+01,5.977015056696537649e+05
9.300000000000000000e+01,5.951884075356794056e+05
9.400000000000000000e+01,6.146380258449043613e+05
9.500000000000000000e+01,6.836958076718247030e+05
9.600000000000000000e+01,6.679082174562383443e+05
9.700000000000000000e+01,6.073996025808387203e+05
9.800000000000000000e+01,5.866842495161056286e+05
9.900000000000000000e+01,5.113841837311717682e+05
1.000000000000000000e+02,5.220011655561915250e+05
1.010000000000000000e+02,4.701767377295506885e+05
1.020000000000000000e+02,4.775368859821569058e+05
1.030000000000000000e+02,4.860030255438075983e+05
1.040000000000000000e+02,4.492950336107642506e+05
1.050000000000000000e+02,4.664724684739661752e+05
1.060000000000000000e+02,4.323082709174740012e+05
1.070000000000000000e+02,4.429882573487738846e+05
1.080000000000000000e+02,4.428449748596910504e+05
1.090000000000000000e+02,4.282406366163248313e+05
1.100000000000000000e+02,4.278451022038438241e+05
1.110000000000000000e+02,4.058635357625065371e+05
1.120000000000000000e+02,4.174495596671643434e+05
1.130000000000000000e+02,4.048694691106318496e+05
1.140000000000000000e+02,3.842829335071470123e+05
1.150000000000000000e+02,3.967574979958681506e+05
1.160000000000000000e+02,3.941438919991943985e+05
1.170000000000000000e+02,3.830088542092487914e+05
1.180000000000000000e+02,3.745352451066366630e+05
1.190000000000000000e+02,3.707235785361651215e+05
1.200000000000000000e+02,3.705707095025080489e+05
1.210000000000000000e+02,3.781074199729206157e+05
1.220000000000000000e+02,3.622785041003794177e+05
1.230000000000000000e+02,3.374717629445288330e+05
1.240000000000000000e+02,3.667492580152970622e+05
1.250000000000000000e+02,3.419996077193493256e+05
1.260000000000000000e+02,3.640432658206784981e+05
1.270000000000000000e+02,3.379370558172361925e+05
1.280000000000000000e+02,2.297016329870086047e+05
