Radius,AveragePower
7.600000000000000000e+01,1.316039406749367947e+06
7.700000000000000000e+01,1.243777345551104285e+06
7.800000000000000000e+01,1.282032022285564104e+06
7.900000000000000000e+01,1.193999357627511723e+06
8.000000000000000000e+01,1.144670039438804146e+06
8.100000000000000000e+01,1.145310495869683800e+06
8.200000000000000000e+01,1.050590022812406067e+06
8.300000000000000000e+01,1.096528456125581171e+06
8.400000000000000000e+01,1.063641139916166896e+06
8.500000000000000000e+01,9.777295452646082267e+05
8.600000000000000000e+01,9.695440585274287732e+05
8.700000000000000000e+01,9.465397141841513803e+05
8.800000000000000000e+01,9.870031109092748957e+05
8.900000000000000000e+01,8.443645357223096071e+05
9.000000000000000000e+01,9.549763735375539400e+05
9.100000000000000000e+01,8.538753671085273381e+05
9.200000000000000000e+01,8.377007266674563289e+05
9.300000000000000000e+01,8.226222760255406611e+05
9.400000000000000000e+01,7.817221519882682478e+05
9.500000000000000000e+01,8.015642895200349158e+05
9.600000000000000000e+01,1.854350017860312480e+06
9.700000000000000000e+01,7.233940407314486802e+05
9.800000000000000000e+01,7.472923578497498529e+05
9.900000000000000000e+01,7.003205108250365593e+05
1.000000000000000000e+02,7.371659942672925536e+05
1.010000000000000000e+02,6.664558072735926835e+05
1.020000000000000000e+02,6.862002638431055238e+05
1.030000000000000000e+02,6.905758572013530647e+05
1.040000000000000000e+02,6.426610096488491399e+05
1.050000000000000000e+02,6.619472072341259336e+05
1.060000000000000000e+02,6.122349137719428400e+05
1.070000000000000000e+02,6.700956039945043158e+05
1.080000000000000000e+02,6.435192925617946312e+05
1.090000000000000000e+02,6.053775313624173868e+05
1.100000000000000000e+02,5.960732501927237026e+05
1.110000000000000000e+02,5.715230940145181958e+05
1.120000000000000000e+02,6.372252395323169185e+05
1.130000000000000000e+02,5.694751401585291605e+05
1.140000000000000000e+02,5.497712492808750831e+05
1.150000000000000000e+02,5.710684537806211738e+05
1.160000000000000000e+02,5.597431226225543069e+05
1.170000000000000000e+02,5.429825673135409597e+05
1.180000000000000000e+02,5.316054586564330384e+05
1.190000000000000000e+02,5.219343802798510878e+05
1.200000000000000000e+02,5.541458502249157755e+05
1.210000000000000000e+02,5.370455632541632513e+05
1.220000000000000000e+02,5.090626121023361338e+05
1.230000000000000000e+02,4.797743515534394537e+05
1.240000000000000000e+02,5.285051349600056419e+05
1.250000000000000000e+02,4.849804655885360553e+05
1.260000000000000000e+02,5.184454139397125109e+05
1.270000000000000000e+02,4.824579603463014937e+05
1.280000000000000000e+02,3.477190450392860221e+05
