Radius,AveragePower
6.300000000000000000e+01,2.018218349905519979e+06
6.400000000000000000e+01,2.482115349974357057e+06
6.500000000000000000e+01,1.756298475094112335e+06
6.600000000000000000e+01,1.846355048840844538e+06
6.700000000000000000e+01,2.086368137462920276e+06
6.800000000000000000e+01,1.568590549624049338e+06
6.900000000000000000e+01,1.654057055902823573e+06
7.000000000000000000e+01,1.491644503730136203e+06
7.100000000000000000e+01,1.515660433251490351e+06
7.200000000000000000e+01,1.496165369953677990e+06
7.300000000000000000e+01,1.347296065587669844e+06
7.400000000000000000e+01,1.317650868053519865e+06
7.500000000000000000e+01,1.278763078991452232e+06
7.600000000000000000e+01,1.223917908331230981e+06
7.700000000000000000e+01,1.159972547031301074e+06
7.800000000000000000e+01,1.196377809340415522e+06
7.900000000000000000e+01,1.113638234534303192e+06
8.000000000000000000e+01,1.062173276968704537e+06
8.100000000000000000e+01,1.067387313318972243e+06
8.200000000000000000e+01,9.855237057609391632e+05
8.300000000000000000e+01,1.015066563186789863e+06
8.400000000000000000e+01,9.812014351648309967e+05
8.500000000000000000e+01,9.093149617538320599e+05
8.600000000000000000e+01,9.048706107481677318e+05
8.700000000000000000e+01,8.804072930503804237e+05
8.800000000000000000e+01,9.180399079631967470e+05
8.900000000000000000e+01,7.858585219800341874e+05
9.000000000000000000e+01,8.771555995094276732e+05
9.100000000000000000e+01,7.965267099658601219e+05
9.200000000000000000e+01,7.822871070438455790e+05
9.300000000000000000e+01,7.689289579712502891e+05
9.400000000000000000e+01,7.250884904129112838e+05
9.500000000000000000e+01,7.482631412826325977e+05
9.600000000000000000e+01,1.526542113253540825e+06
9.700000000000000000e+01,6.733752537249312736e+05
9.800000000000000000e+01,6.968959022757264320e+05
9.900000000000000000e+01,6.509033211758680409e+05
1.000000000000000000e+02,6.843902583423444303e+05
1.010000000000000000e+02,6.205895833629498957e+05
1.020000000000000000e+02,6.378078928126216633e+05
1.030000000000000000e+02,6.424282749261219287e+05
1.040000000000000000e+02,5.976387323663338320e+05
1.050000000000000000e+02,6.168412499397625215e+05
1.060000000000000000e+02,5.679509828208787367e+05
1.070000000000000000e+02,6.146923646474061534e+05
1.080000000000000000e+02,5.961018642967767082e+05
1.090000000000000000e+02,5.641742411771584302e+05
1.100000000000000000e+02,5.550741317096468993e+05
1.110000000000000000e+02,5.317216378439229447e+05
1.120000000000000000e+02,5.842068118932524230e+05
1.130000000000000000e+02,5.306646646526200930e+05
1.140000000000000000e+02,5.095504679097555927e+05
1.150000000000000000e+02,5.305935351562073920e+05
1.160000000000000000e+02,5.199013400808835286e+05
1.170000000000000000e+02,5.056655120241449331e+05
1.180000000000000000e+02,4.940034884265758446e+05
1.190000000000000000e+02,4.865413560994864092e+05
1.200000000000000000e+02,5.110079331833739416e+05
1.210000000000000000e+02,5.006659438344943919e+05
1.220000000000000000e+02,4.743443363488520263e+05
1.230000000000000000e+02,4.461037213284648606e+05
1.240000000000000000e+02,4.902847365372547065e+05
1.250000000000000000e+02,4.517677981690361048e+05
1.260000000000000000e+02,4.817417955258261645e+05
1.270000000000000000e+02,4.487521430330389994e+05
1.280000000000000000e+02,3.099065289342042524e+05
